Name,Sex,NOC,Year,Sport,Event,Medal
Nikolaos Andriakopoulos,M,GRE,1896,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Conrad Helmut Fritz Bcker,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Conrad Helmut Fritz Bcker,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
John Mary Pius Boland,M,GBR,1896,Tennis,Tennis Men's Singles,Gold
John Mary Pius Boland,M,GBR,1896,Tennis,Tennis Men's Doubles,Gold
"Thomas Edmund ""Tom"" Burke",M,USA,1896,Athletics,Athletics Men's 100 metres,Gold
"Thomas Edmund ""Tom"" Burke",M,USA,1896,Athletics,Athletics Men's 400 metres,Gold
Ellery Harding Clark,M,USA,1896,Athletics,Athletics Men's High Jump,Gold
Ellery Harding Clark,M,USA,1896,Athletics,Athletics Men's Long Jump,Gold
James Brendan Bennet Connolly,M,USA,1896,Athletics,Athletics Men's Triple Jump,Gold
"Thomas Pelham ""Tom"" Curtis",M,USA,1896,Athletics,Athletics Men's 110 metres Hurdles,Gold
Launceston Elliot,M,GBR,1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold
"Edwin Harold ""Teddy"" Flack",M,AUS,1896,Athletics,Athletics Men's 800 metres,Gold
"Edwin Harold ""Teddy"" Flack",M,AUS,1896,Athletics,"Athletics Men's 1,500 metres",Gold
Marie Lon Flameng,M,FRA,1896,Cycling,Cycling Men's 100 kilometres,Gold
Alfred Flatow,M,GER,1896,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Alfred Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Alfred Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Gustav Felix Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Gustav Felix Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Ioannis Frangoudis,M,GRE,1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Gold
"Robert ""Bob"" Garrett",M,USA,1896,Athletics,Athletics Men's Shot Put,Gold
"Robert ""Bob"" Garrett",M,USA,1896,Athletics,Athletics Men's Discus Throw,Gold
Ioannis Georgiadis,M,GRE,1896,Fencing,"Fencing Men's Sabre, Individual",Gold
Eugne Henry Gravelotte,M,FRA,1896,Fencing,"Fencing Men's Foil, Individual",Gold
Alfrd (Arnold-) Hajs (Guttmann-),M,HUN,1896,Swimming,Swimming Men's 100 metres Freestyle,Gold
Alfrd (Arnold-) Hajs (Guttmann-),M,HUN,1896,Swimming,"Swimming Men's 1,200 metres Freestyle",Gold
Georg Otto Hilmar,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Georg Otto Hilmar,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
"William Welles ""Bill"" Hoyt",M,USA,1896,Athletics,Athletics Men's Pole Vault,Gold
Alexander Viggo Jensen,M,DEN,1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Gold
Pantelis Karasevdas,M,GRE,1896,Shooting,"Shooting Men's Military Rifle, 200 metres",Gold
Aristidis Konstantinidis,M,GRE,1896,Cycling,"Cycling Men's Road Race, Individual",Gold
"Spyridon ""Spyros"" Louis",M,GRE,1896,Athletics,Athletics Men's Marathon,Gold
Ioannis Malokinis,M,GRE,1896,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Gold
Julius Carl Fritz Manteuffel,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Julius Carl Fritz Manteuffel,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Paul Michel Pierre Adrien Masson (-Nossam),M,FRA,1896,Cycling,Cycling Men's Sprint,Gold
Paul Michel Pierre Adrien Masson (-Nossam),M,FRA,1896,Cycling,Cycling Men's 333 metres Time Trial,Gold
Paul Michel Pierre Adrien Masson (-Nossam),M,FRA,1896,Cycling,"Cycling Men's 10,000 metres",Gold
Ioannis Mitropoulos,M,GRE,1896,Gymnastics,Gymnastics Men's Rings,Gold
Karl Neukirch,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Karl Neukirch,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Paul Neumann (-Newman),M,AUT,1896,Swimming,Swimming Men's 500 metres Freestyle,Gold
Georgios D. Orfanidis,M,GRE,1896,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
John Bryant Paine,M,USA,1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold
Sumner Paine,M,USA,1896,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold
"Leonidas ""Leon"" Pyrgos",M,GRE,1896,Fencing,"Fencing Men's Foil, Masters, Individual",Gold
Richard Rstel,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Richard Rstel,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Felix Adolf Schmal,M,AUT,1896,Cycling,Cycling Men's 12-Hours Race,Gold
Fritz Richard Gustav Schuft,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Fritz Richard Gustav Schuft,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Carl Schuhmann,M,GER,1896,Gymnastics,Gymnastics Men's Horse Vault,Gold
Carl Schuhmann,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Carl Schuhmann,M,GER,1896,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Gold
Carl Schuhmann,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
"Friedrich Adolf ""Fritz"" Traun",M,GER,1896,Tennis,Tennis Men's Doubles,Gold
Hermann Otto Ludwig Weingrtner,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Hermann Otto Ludwig Weingrtner,M,GER,1896,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Hermann Otto Ludwig Weingrtner,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
"Jules Alexis ""Louis"" Zutter",M,SUI,1896,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Edgar Lindenau Aabye,M,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Margaret Ives Abbott (-Dunne),F,USA,1900,Golf,Golf Women's Individual,Gold
"Louis Grenville ""Lou"" Abell",M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
Vladimir Atoff,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
A. Albert,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Louis Albert Auguste-Dormeuil (Dormeuil-),M,FRA,1900,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Gaston Achille Louis Aumoitte,M,FRA,1900,Croquet,"Croquet Mixed Singles, One Ball",Gold
Gaston Achille Louis Aumoitte,M,FRA,1900,Croquet,Croquet Mixed Doubles,Gold
Albert Jean Louis Ayat,M,FRA,1900,Fencing,"Fencing Men's epee, Masters, Individual",Gold
Albert Jean Louis Ayat,M,FRA,1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",Gold
Hermann Joseph Barrelet,M,FRA,1900,Rowing,Rowing Men's Single Sculls,Gold
Louis Bastien,M,FRA,1900,Cycling,Cycling Men's 25 kilometres,Gold
Rudolf (-Rezs) Bauer,M,HUN,1900,Athletics,Athletics Men's Discus Throw,Gold
"Irving Knott ""Irv"" Baxter",M,USA,1900,Athletics,Athletics Men's High Jump,Gold
"Irving Knott ""Irv"" Baxter",M,USA,1900,Athletics,Athletics Men's Pole Vault,Gold
Charles Beachey Beachcroft (Kay-),M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Charles Bennett,M,GBR,1900,Athletics,"Athletics Men's 1,500 metres",Gold
Charles Bennett,M,GBR,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold
John Graham Hope de la Poer Beresford,M,GBR,1900,Polo,Polo Men's Polo,Gold
Franois Alexandre mile Billard,M,FRA,1900,Sailing,Sailing Mixed 10-20 Ton,Gold
Lon Binoche,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Arthur Ernest Burrington Birkett,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Gaston Frdric Blanchy,M,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
Gaston Frdric Blanchy,M,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
Franz Bckli,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Jules Henri Bouckaert,M,FRA,1900,Rowing,Rowing Men's Coxed Fours,Gold
Alfred James Bowerman,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Franois Antoine Brandt,M,NED,1900,Rowing,Rowing Men's Coxed Pairs,Gold
Hermanus Gerardus Brockmann,M,NED,1900,Rowing,Rowing Men's Coxed Pairs,Gold
"Ernesto Mario ""Enrico"" Brusoni",M,ITA,1900,Cycling,Cycling Men's Points Race,Gold
Claude Percival Buckenham,M,GBR,1900,Football,Football Men's Football,Gold
George John Buckley,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Francis Romulus Burchell,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Tom Eustace Burridge,M,GBR,1900,Football,Football Men's Football,Gold
"William John ""Bill"" Carr",M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
Jean Baptiste Albert Joseph Cau,M,FRA,1900,Rowing,Rowing Men's Coxed Fours,Gold
Alfred Ernest Chalk,M,GBR,1900,Football,Football Men's Football,Gold
Charlot,M,FRA,1900,Rowing,Rowing Men's Coxed Fours,Gold
Frederick William Christian,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Thomas Coe,M,GBR,1900,Water Polo,Water Polo Men's Water Polo,Gold
Jean Collas,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Antonio Conte,M,ITA,1900,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold
Charlotte Reinagle Cooper (-Sterry),F,GBR,1900,Tennis,Tennis Women's Singles,Gold
Charlotte Reinagle Cooper (-Sterry),F,GBR,1900,Tennis,Tennis Mixed Doubles,Gold
Harry Richard Corner,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
mile Louis Franois Dsir Coste,M,FRA,1900,Fencing,"Fencing Men's Foil, Individual",Gold
Robert Arnold Crawshaw,M,GBR,1900,Water Polo,Water Polo Men's Water Polo,Gold
Frederick William Cuming,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Lorne Campbell Currie,M,GBR,1900,Sailing,Sailing Mixed Open,Gold
Lorne Campbell Currie,M,GBR,1900,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Denis St. George Daly,M,GBR,1900,Polo,Polo Men's Polo,Gold
Jos de Amzola y Aspiza,M,ESP,1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,Gold
mile Roger de Thomas de Barbarin,M,FRA,1900,Shooting,Shooting Men's Trap,Gold
Louis Verrant Gabriel Le Bailly de la Falaise,M,FRA,1900,Fencing,"Fencing Men's Sabre, Individual",Gold
Bernard Alexandre Georges Edmond de Pourtals,M,SUI,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Hlne de Pourtals (Barbey-),F,SUI,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Hermann Alexandre de Pourtals,M,SUI,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Harry Leopold DeBaecke,M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
mile Henri Delchambre,M,FRA,1900,Rowing,Rowing Men's Coxed Fours,Gold
Charles Devendeville,M,FRA,1900,Swimming,Swimming Men's Underwater Swimming,Gold
"Hugh Lawrence ""Laurie"" Doherty",M,GBR,1900,Tennis,Tennis Men's Singles,Gold
"Hugh Lawrence ""Laurie"" Doherty",M,GBR,1900,Tennis,Tennis Men's Doubles,Gold
"Reginald Frank ""Reggie"" Doherty",M,GBR,1900,Tennis,Tennis Mixed Doubles,Gold
"Reginald Frank ""Reggie"" Doherty",M,GBR,1900,Tennis,Tennis Men's Doubles,Gold
William Stephens Donne,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
