Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Nikolaos Andriakopoulos,M,GRE,1896,Gymnastics,Gymnastics Men's Rope Climbing,Gold,N/A,N/A
Conrad Helmut Fritz Bcker,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold,N/A,N/A
Conrad Helmut Fritz Bcker,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold,N/A,N/A
John Mary Pius Boland,M,GBR,1896,Tennis,Tennis Men's Singles,Gold,N/A,N/A
John Mary Pius Boland,M,GBR,1896,Tennis,Tennis Men's Doubles,Gold,N/A,N/A
"Thomas Edmund ""Tom"" Burke",M,USA,1896,Athletics,Athletics Men's 100 metres,Gold,N/A,N/A
"Thomas Edmund ""Tom"" Burke",M,USA,1896,Athletics,Athletics Men's 400 metres,Gold,N/A,N/A
Ellery Harding Clark,M,USA,1896,Athletics,Athletics Men's High Jump,Gold,N/A,N/A
Ellery Harding Clark,M,USA,1896,Athletics,Athletics Men's Long Jump,Gold,N/A,N/A
James Brendan Bennet Connolly,M,USA,1896,Athletics,Athletics Men's Triple Jump,Gold,N/A,N/A
"Thomas Pelham ""Tom"" Curtis",M,USA,1896,Athletics,Athletics Men's 110 metres Hurdles,Gold,N/A,N/A
Launceston Elliot,M,GBR,1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold,N/A,N/A
"Edwin Harold ""Teddy"" Flack",M,AUS,1896,Athletics,Athletics Men's 800 metres,Gold,N/A,N/A
"Edwin Harold ""Teddy"" Flack",M,AUS,1896,Athletics,"Athletics Men's 1,500 metres",Gold,N/A,N/A
Marie Lon Flameng,M,FRA,1896,Cycling,Cycling Men's 100 kilometres,Gold,N/A,N/A
Alfred Flatow,M,GER,1896,Gymnastics,Gymnastics Men's Parallel Bars,Gold,N/A,N/A
Alfred Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold,N/A,N/A
Alfred Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold,N/A,N/A
Gustav Felix Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold,N/A,N/A
Gustav Felix Flatow,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold,N/A,N/A
Ioannis Frangoudis,M,GRE,1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Gold,N/A,N/A
"Robert ""Bob"" Garrett",M,USA,1896,Athletics,Athletics Men's Shot Put,Gold,N/A,N/A
"Robert ""Bob"" Garrett",M,USA,1896,Athletics,Athletics Men's Discus Throw,Gold,N/A,N/A
Ioannis Georgiadis,M,GRE,1896,Fencing,"Fencing Men's Sabre, Individual",Gold,N/A,N/A
Eugne Henry Gravelotte,M,FRA,1896,Fencing,"Fencing Men's Foil, Individual",Gold,N/A,N/A
Alfrd (Arnold-) Hajs (Guttmann-),M,HUN,1896,Swimming,Swimming Men's 100 metres Freestyle,Gold,N/A,N/A
Alfrd (Arnold-) Hajs (Guttmann-),M,HUN,1896,Swimming,"Swimming Men's 1,200 metres Freestyle",Gold,N/A,N/A
Georg Otto Hilmar,M,GER,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold,N/A,N/A
Georg Otto Hilmar,M,GER,1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold,N/A,N/A
"William Welles ""Bill"" Hoyt",M,USA,1896,Athletics,Athletics Men's Pole Vault,Gold,N/A,N/A
Alexander Viggo Jensen,M,DEN,1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Gold,N/A,N/A
Pantelis Karasevdas,M,GRE,1896,Shooting,"Shooting Men's Military Rifle, 200 metres",Gold,N/A,N/A
Aristidis Konstantinidis,M,GRE,1896,Cycling,"Cycling Men's Road Race, Individual",Gold,N/A,N/A
"Spyridon ""Spyros"" Louis",M,GRE,1896,Athletics,Athletics Men's Marathon,Gold,N/A,N/A
