rank,team,gold
1,United States of America,39
2,People's Republic of China,38
3,Japan,27
4,Great Britain,22
5,ROC,20
6,Australia,17
7,Netherlands,10
8,France,10
9,Germany,10
10,Italy,10
11,Canada,7
12,Brazil,7
13,New Zealand,7
14,Cuba,7
15,Hungary,6
16,Republic of Korea,6
17,Poland,4
18,Czech Republic,4
19,Kenya,4
20,Norway,4
21,Jamaica,4
22,Spain,3
23,Sweden,3
24,Switzerland,3
25,Denmark,3
26,Croatia,3
27,Islamic Republic of Iran,3
28,Serbia,3
29,Belgium,3
30,Bulgaria,3
31,Slovenia,3
32,Uzbekistan,3
33,Georgia,2
34,Chinese Taipei,2
35,Turkey,2
36,Greece,2
36,Uganda,2
38,Ecuador,2
39,Ireland,2
39,Israel,2
41,Qatar,2
42,Bahamas,2
42,Kosovo,2
44,Ukraine,1
45,Belarus,1
46,Romania,1
46,Venezuela,1
48,India,1
49,"Hong Kong, China",1
50,Philippines,1
50,Slovakia,1
52,South Africa,1
53,Austria,1
54,Egypt,1
55,Indonesia,1
56,Ethiopia,1
56,Portugal,1
58,Tunisia,1
59,Estonia,1
59,Fiji,1
59,Latvia,1
59,Thailand,1
63,Bermuda,1
63,Morocco,1
63,Puerto Rico,1
66,Colombia,0
67,Azerbaijan,0
68,Dominican Republic,0
69,Armenia,0
70,Kyrgyzstan,0
71,Mongolia,0
72,Argentina,0
72,San Marino,0
74,Jordan,0
74,Malaysia,0
74,Nigeria,0
77,Bahrain,0
77,Saudi Arabia,0
77,Lithuania,0
77,North Macedonia,0
77,Namibia,0
77,Turkmenistan,0
83,Kazakhstan,0
84,Mexico,0
85,Finland,0
86,Botswana,0
86,Burkina Faso,0
86,Cote dIvoire,0
86,Ghana,0
86,Grenada,0
86,Kuwait,0
86,Republic of Moldova,0
86,Syrian Arab Republic,0
