NOC,Year,GDP,Population,Medals
USA,1960,5.43E+11,180700000,81
USA,1964,6.86E+11,191900000,95
USA,1968,9.43E+11,200700000,99
USA,1972,1.28E+12,209900000,68
USA,1976,1.87E+12,218000000,70
USA,1984,4.04E+12,235800000,186
USA,1988,5.24E+12,244500000,87
USA,1992,6.52E+12,256900000,89
USA,1996,8.07E+12,269700000,159
USA,2000,1.03E+13,282200000,130
USA,2004,1.22E+13,292800000,117
USA,2008,1.47E+13,304100000,127
USA,2012,1.62E+13,313900000,145
USA,2016,1.87E+13,323100000,139
USA,2020,2.09E+13,331449281,112
RSA,1996,3.92E+11,148200000,36
RSA,2000,2.60E+11,146600000,66
RSA,2004,5.91E+11,144100000,48
RSA,2008,1.66E+12,142700000,43
RSA,2012,2.21E+12,143200000,50
RSA,2016,1.28E+12,144300000,52
RSA,2020,1.47E+12,145934462,40
CNH,1984,2.60E+11,1037000000,24
CNH,1988,3.12E+11,1102000000,6
CNH,1992,4.27E+11,1165000000,18
CNH,1996,8.64E+11,1218000000,19
CNH,2000,1.21E+12,1263000000,39
CNH,2004,1.94E+12,1296000000,52
CNH,2008,4.59E+12,1325000000,74
CNH,2012,8.53E+12,1351000000,56
CNH,2016,1.12E+13,1379000000,46
CNH,2020,1.47E+13,1411780000,58
GBR,1960,7.32E+10,52370602,2
GBR,1964,9.44E+10,53800000,4
GBR,1968,1.08E+11,55090000,9
GBR,1972,1.70E+11,56010000,8
GBR,1976,2.33E+11,56220000,6
GBR,1980,5.65E+11,56280000,5
GBR,1984,4.61E+11,56360000,9
GBR,1988,9.10E+11,56860000,22
GBR,1992,1.18E+12,57510000,8
GBR,1996,1.42E+12,58090000,2
GBR,2000,1.66E+12,58923309,22
GBR,2004,2.41E+12,59790000,17
GBR,2008,2.92E+12,61570000,31
GBR,2012,2.70E+12,63500000,48
GBR,2016,2.69E+12,66297944,64
GBR,2020,2.71E+12,67886011,39
GER,1992,2.13E+12,80270000,81
GER,1996,2.50E+12,81820000,42
GER,2000,1.94E+12,82160000,31
GER,2004,2.81E+12,82530000,41
GER,2008,3.73E+12,82220000,42
GER,2012,3.53E+12,80330000,45
GER,2016,3.47E+12,82180000,49
GER,2020,3.80E+12,83783942,18
AUS,1956,1.37E+11,9371789,28
AUS,1960,2.07E+11,10242076,11
AUS,1964,2.38E+11,11170000,8
AUS,1968,3.27E+11,12010000,5
AUS,1972,5.20E+12,13180000,11
AUS,1980,1.50E+13,14690000,6
AUS,1984,1.93E+13,15540000,7
AUS,1988,2.36E+13,16530000,18
AUS,1992,3.25E+13,17500000,14
AUS,1996,4.00E+13,18310000,31
AUS,2000,4.15E+13,19150000,60
AUS,2004,6.13E+13,20130000,49
AUS,2008,1.05E+14,21250000,31
AUS,2012,1.55E+14,22730000,18
AUS,2016,1.21E+14,24190000,23
AUS,2020,1.36E+14,25694393,36
ITA,1960,4.04E+10,49699951,36
ITA,1964,6.32E+10,51440000,14
ITA,1968,8.79E+10,53080000,5
ITA,1972,1.14E+11,54190000,9
ITA,1976,2.25E+11,55590000,2
ITA,1980,4.77E+11,56390000,8
ITA,1984,4.38E+11,56570000,29
ITA,1988,8.92E+11,56610000,11
ITA,1992,1.32E+12,56770000,21
ITA,1996,1.31E+12,56840000,19
ITA,2000,1.14E+12,56920000,22
ITA,2004,1.80E+12,57500000,24
ITA,2008,2.40E+12,58650000,8
ITA,2012,2.09E+12,59390000,16
ITA,2016,1.88E+12,60663060,8
ITA,2020,1.89E+12,60461826,18
JPN,1960,4.43E+10,93673615,9
JPN,1964,8.17E+10,97830000,32
JPN,1968,1.47E+11,101100000,16
JPN,1972,5.86E+11,107200000,29
JPN,1976,5.86E+11,112800000,25
JPN,1984,1.32E+12,120000000,10
JPN,1988,3.07E+12,122600000,4
JPN,1992,3.91E+12,124200000,3
JPN,1996,4.83E+12,125800000,3
JPN,2000,4.89E+12,128000000,4
JPN,2004,4.82E+12,127800000,21
JPN,2008,5.04E+12,128100000,23
JPN,2012,6.20E+12,127600000,7
JPN,2016,4.92E+12,128000000,17
JPN,2020,5.05E+12,126000000,68
FRA,1964,9.40E+10,49230000,1
FRA,1968,1.30E+11,51180000,12
FRA,1972,2.03E+11,52790000,2
